submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s459828833,p00002,u912124184,1531554169,Rust,Rust,rs,Accepted,0,5020,508,1/1
s754006783,p00002,u759934006,1513426109,Rust,Rust,rs,Accepted,0,5048,387,1/1
s834562369,p00002,u759934006,1513426789,Rust,Rust,rs,Accepted,0,5048,388,1/1
s801715135,p00002,u233505136,1516949032,Rust,Rust,rs,Accepted,0,5036,371,1/1
s298750993,p00002,u444102531,1518463316,Rust,Rust,rs,Compile Error,0,0,1907,0/1
s656586502,p00002,u444102531,1518463378,Rust,Rust,rs,Accepted,0,5036,1920,1/1
s724972844,p00002,u444102531,1518476646,Rust,Rust,rs,Runtime Error,0,0,2164,0/1
s359492632,p00002,u444102531,1518476840,Rust,Rust,rs,Runtime Error,0,0,2164,0/1
s507437700,p00002,u324833668,1526563388,Rust,Rust,rs,Accepted,0,5036,531,1/1
s397530587,p00002,u842613099,1550137274,Rust,Rust,rs,Accepted,0,5028,464,1/1
s435352449,p00002,u292243014,1544944482,Rust,Rust,rs,Accepted,0,5032,407,1/1
s451375523,p00002,u158509913,1534832475,JavaScript,JavaScript,js,Wrong Answer,90,16580,410,0/1
s672821061,p00002,u158509913,1534832507,JavaScript,JavaScript,js,Wrong Answer,90,16588,410,0/1
s969045544,p00002,u158509913,1534832859,JavaScript,JavaScript,js,Wrong Answer,90,16568,553,0/1
s242816904,p00002,u158509913,1534832935,JavaScript,JavaScript,js,Wrong Answer,100,16596,552,0/1
s898365791,p00002,u158509913,1534833326,JavaScript,JavaScript,js,Wrong Answer,90,17168,555,0/1
s913357078,p00002,u158509913,1534838964,JavaScript,JavaScript,js,Wrong Answer,100,17296,335,0/1
s243836546,p00002,u158509913,1534839250,JavaScript,JavaScript,js,Wrong Answer,80,16428,288,0/1
s267513825,p00002,u158509913,1534839428,JavaScript,JavaScript,js,Wrong Answer,90,17164,568,0/1
s991496386,p00002,u158509913,1534839493,JavaScript,JavaScript,js,Accepted,90,16560,575,1/1
s835479103,p00002,u759934006,1407343277,JavaScript,JavaScript,js,Wrong Answer,20,9000,354,0/1
s824524841,p00002,u759934006,1407343309,JavaScript,JavaScript,js,Wrong Answer,20,8956,355,0/1
s639380026,p00002,u759934006,1407343669,JavaScript,JavaScript,js,Wrong Answer,20,8960,341,0/1
s944156810,p00002,u759934006,1407344241,JavaScript,JavaScript,js,Accepted,20,8676,434,1/1
s556690628,p00002,u540218629,1424101216,JavaScript,JavaScript,js,Runtime Error,0,0,218,0/1
s475654580,p00002,u540218629,1424101244,JavaScript,JavaScript,js,Accepted,20,8780,220,1/1
s012194291,p00002,u517414491,1427368157,JavaScript,JavaScript,js,Accepted,20,8904,214,1/1
s051810431,p00002,u517414491,1427368587,JavaScript,JavaScript,js,Wrong Answer,20,7644,152,0/1
s146523150,p00002,u517414491,1427370147,JavaScript,JavaScript,js,Accepted,20,8772,199,1/1
s329140451,p00002,u517414491,1427370177,JavaScript,JavaScript,js,Wrong Answer,20,8700,100,0/1
s459195553,p00002,u759826653,1428937090,JavaScript,JavaScript,js,Accepted,20,8964,343,1/1
s086605555,p00002,u578350999,1430832634,JavaScript,JavaScript,js,Runtime Error,0,0,828,0/1
s423972511,p00002,u578350999,1430832709,JavaScript,JavaScript,js,Runtime Error,0,0,615,0/1
s457444064,p00002,u578350999,1430832924,JavaScript,JavaScript,js,Wrong Answer,20,7376,748,0/1
s564776903,p00002,u578350999,1430832980,JavaScript,JavaScript,js,Wrong Answer,40,10344,716,0/1
s032991970,p00002,u578350999,1430833065,JavaScript,JavaScript,js,Wrong Answer,20,8696,709,0/1
s616623600,p00002,u578350999,1430833721,JavaScript,JavaScript,js,Wrong Answer,20,8684,464,0/1
s091375585,p00002,u578350999,1430833988,JavaScript,JavaScript,js,Runtime Error,0,0,549,0/1
s325027047,p00002,u578350999,1431091400,JavaScript,JavaScript,js,Wrong Answer,20,7380,922,0/1
s746674365,p00002,u578350999,1431091446,JavaScript,JavaScript,js,Wrong Answer,20,7640,933,0/1
s657768405,p00002,u340523328,1432117710,JavaScript,JavaScript,js,Wrong Answer,20,8752,137,0/1
s742242371,p00002,u340523328,1432117805,JavaScript,JavaScript,js,Wrong Answer,20,8492,143,0/1
s154675350,p00002,u340523328,1432117940,JavaScript,JavaScript,js,Wrong Answer,20,8740,136,0/1
s033565248,p00002,u340523328,1432118279,JavaScript,JavaScript,js,Accepted,20,8732,142,1/1
s434798237,p00002,u340523328,1432118292,JavaScript,JavaScript,js,Wrong Answer,20,8736,135,0/1
s417106615,p00002,u340523328,1432118378,JavaScript,JavaScript,js,Runtime Error,0,0,141,0/1
s208480948,p00002,u340523328,1432118405,JavaScript,JavaScript,js,Runtime Error,0,0,143,0/1
s100717287,p00002,u340523328,1432118476,JavaScript,JavaScript,js,Accepted,20,8960,148,1/1
s385931866,p00002,u340523328,1433151507,JavaScript,JavaScript,js,Accepted,20,8732,139,1/1
s495544472,p00002,u340523328,1433292612,JavaScript,JavaScript,js,Accepted,20,8740,138,1/1
s274928645,p00002,u340523328,1434588157,JavaScript,JavaScript,js,Accepted,20,8740,118,1/1
s238374495,p00002,u340523328,1434588398,JavaScript,JavaScript,js,Accepted,20,8740,116,1/1
s588466092,p00002,u434064811,1438686815,JavaScript,JavaScript,js,Runtime Error,0,0,287,0/1
s282202600,p00002,u149005580,1438687618,JavaScript,JavaScript,js,Wrong Answer,20,8464,265,0/1
s162715365,p00002,u264218752,1438688127,JavaScript,JavaScript,js,Runtime Error,0,0,400,0/1
s243835754,p00002,u264218752,1438688164,JavaScript,JavaScript,js,Runtime Error,0,0,332,0/1
s674673153,p00002,u941151808,1438689022,JavaScript,JavaScript,js,Wrong Answer,20,8472,287,0/1
s648435285,p00002,u324596395,1451452883,JavaScript,JavaScript,js,Wrong Answer,60,16220,804,0/1
s863730317,p00002,u324596395,1451453309,JavaScript,JavaScript,js,Wrong Answer,70,16284,792,0/1
s440577128,p00002,u324596395,1451453816,JavaScript,JavaScript,js,Wrong Answer,70,16104,834,0/1
s767594606,p00002,u324596395,1451453867,JavaScript,JavaScript,js,Runtime Error,0,0,790,0/1
s460258609,p00002,u324596395,1451457129,JavaScript,JavaScript,js,Accepted,60,15976,795,1/1
s559358484,p00002,u310875948,1459699144,JavaScript,JavaScript,js,Runtime Error,0,0,32,0/1
s410419158,p00002,u310875948,1459699173,JavaScript,JavaScript,js,Wrong Answer,50,15456,28,0/1
s954450108,p00002,u165388319,1462439204,JavaScript,JavaScript,js,Wrong Answer,70,17208,565,0/1
s412345298,p00002,u149181280,1465952993,JavaScript,JavaScript,js,Wrong Answer,70,16180,130,0/1
s216687546,p00002,u149181280,1465953051,JavaScript,JavaScript,js,Wrong Answer,70,17000,130,0/1
s094472553,p00002,u149181280,1465954230,JavaScript,JavaScript,js,Wrong Answer,60,17060,130,0/1
s991050015,p00002,u149181280,1465954276,JavaScript,JavaScript,js,Wrong Answer,70,17096,130,0/1
s104162915,p00002,u149181280,1465955353,JavaScript,JavaScript,js,Accepted,60,16068,137,1/1
s989492392,p00002,u229233999,1470299938,JavaScript,JavaScript,js,Wrong Answer,60,15412,206,0/1
s622283614,p00002,u229233999,1470303058,JavaScript,JavaScript,js,Runtime Error,0,0,239,0/1
s004379790,p00002,u027868841,1470446897,JavaScript,JavaScript,js,Wrong Answer,80,17240,537,0/1
s899214898,p00002,u027868841,1470447008,JavaScript,JavaScript,js,Wrong Answer,80,17248,574,0/1
s902911330,p00002,u027868841,1470447125,JavaScript,JavaScript,js,Wrong Answer,70,17252,574,0/1
s872818887,p00002,u027868841,1470448208,JavaScript,JavaScript,js,Accepted,70,17024,425,1/1
s999661801,p00002,u027868841,1470448222,JavaScript,JavaScript,js,Wrong Answer,60,17028,418,0/1
s480004928,p00002,u437327236,1477586624,JavaScript,JavaScript,js,Accepted,60,16040,315,1/1
s197412150,p00002,u176545929,1477625107,JavaScript,JavaScript,js,Accepted,60,16104,705,1/1
s501925333,p00002,u634044107,1477625262,JavaScript,JavaScript,js,Accepted,60,16000,705,1/1
